scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,liva_taoyan_cal,rev_entropy_taoyan_cal,diff_freq1_taoyan_cal,cost_freq1_taoyan_cal,DYNA_taoyan_cal,MUNI_taoyan_cal,org_size_taoyan_cal,cost_sticky_taoyan_cal,esg_score_taoyan_cal,digi_freq1_taoyan_cal
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2014,0.4075676496504372,0.3537503131214833,0.05,0.0575729872255953,0.7400000000000002,0.05,0.3659397822582899,0.4464821760344199,0.05,0.2758565803048767
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2015,0.9496452440872836,0.3537503131214833,0.05,0.05,0.65,0.1678571428571427,0.3659397822582899,0.4954795102259236,0.05,0.3860534312101422
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2016,0.2181005716681673,0.3537503131214833,0.05,0.05,0.56,0.2821428571428573,0.348899571464934,0.4815502685432782,0.05,0.4659911501828265
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2017,0.2719321145693215,0.5155170720775424,0.0861296260020152,0.1126966114623265,0.501,0.3928571428571427,0.2255665216149989,0.8951346652284772,0.05,0.5382670868321059
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2018,0.4128017788710357,0.95,0.3037048819596838,0.1758901490755234,0.3999999999999999,0.501,0.2401283830655336,0.3264790631962532,0.05,0.05
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2019,0.5465588818423175,0.5907835807071725,0.5101591294466883,0.6662994817944813,0.3,0.6165178571428576,0.3149361583297191,0.4069404758103115,0.05,0.05
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2020,0.6429326055257252,0.0734594189011585,0.2037613084160922,0.2569419383820721,0.2000000000000001,0.7290178571428573,0.2618965853773152,0.4874018885242039,0.05,0.0872147331538539
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2021,0.5700963923788063,0.4451742061087364,0.05,0.395832890711342,0.15,0.841517857142857,0.333345137076842,0.4826685301554271,0.05,0.0700736306187692
10,美丽生态,土木工程建筑业,E48,1995-10-27,1995.0,2023,0.4838503639621714,0.1219556011048696,0.05,0.5772750606331215,0.05,0.95,0.2284555195805987,0.2176326763330093,0.05,0.05
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2014,0.4075676496504372,0.8166047300412878,0.3031577068156282,0.05,0.95,0.05,0.1209156898843635,0.5700678160708452,0.6551194539249143,0.2758565803048767
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2015,0.95,0.95,0.1769872347624081,0.05,0.9200000000000002,0.05,0.1209156898843635,0.4819179151736311,0.6551194539249143,0.937641799333884
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2016,0.0984106240152778,0.95,0.4781549650382927,0.1486395846501946,0.8,0.0571428571428573,0.0978515171088954,0.3928253276765934,0.9215870307167232,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2017,0.2509490964782397,0.95,0.5864624292813395,0.05,0.7100000000000001,0.1750000000000001,0.0938575638074479,0.5439472325357857,0.95,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2018,0.4697687514765099,0.95,0.5796091331728745,0.05,0.6200000000000001,0.2892857142857147,0.1244838358918284,0.4841834528490038,0.8209897610921497,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2019,0.95,0.95,0.4774248310053341,0.3463510085252054,0.56,0.4000000000000001,0.1477028889721599,0.7083124988031855,0.7856655290102389,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2020,0.7491167395945206,0.95,0.5599109635501758,0.2768183716911277,0.501,0.5080357142857145,0.1750172944354193,0.4913140688524268,0.8862627986348124,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2021,0.8135026429359836,0.343476014913003,0.5345799407253441,0.4247030063029156,0.3999999999999999,0.624553571428572,0.7302200902065665,0.5479877672781535,0.6251706484641635,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2022,0.7786235167278062,0.1924119410747035,0.657049147071346,0.7509317753539327,0.3500000000000001,0.7370535714285718,0.755196795995466,0.4788709773100247,0.6727815699658704,0.95
32,深桑达A,建筑安装业,E49,1993-10-28,1993.0,2023,0.3503572191962947,0.1466524517801938,0.8265473549330113,0.7084301343116928,0.25,0.8495535714285716,0.76452703676921,0.5534314705236345,0.6389931740614336,0.95
18,神城A退,建筑装饰装修和其它建筑业,E50,2020-11-07,2020.0,2020,0.6291958242904866,0.3389426497406262,0.6432446806276613,0.6026759448513048,0.77,0.2892857142857147,0.2886834332434594,0.4757379111714849,0.362961029923453,0.6490045004109262
18,神城A退,建筑装饰装修和其它建筑业,E50,2020-11-07,2020.0,2021,0.6291958242904866,0.3389426497406262,0.6432446806276613,0.6026759448513048,0.7100000000000001,0.3964285714285719,0.2886834332434594,0.4757379111714849,0.362961029923453,0.6970029480751306
18,神城A退,建筑装饰装修和其它建筑业,E50,2020-11-07,2020.0,2022,0.6291958242904866,0.3389426497406262,0.6432446806276613,0.6026759448513048,0.65,0.501,0.2886834332434594,0.4757379111714849,0.362961029923453,0.7450013957393352
18,神城A退,建筑装饰装修和其它建筑业,E50,2020-11-07,2020.0,2023,0.6291958242904866,0.3389426497406262,0.6432446806276613,0.6026759448513048,0.59,0.6165178571428576,0.2886834332434594,0.4757379111714849,0.362961029923453,0.7929998434035397
